Series Name,Make,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Number of vehicles,AUDI,122,157,167,169,296,441,547,674,864,976,1367,1705,2374,2112,1500,1931,2231,2486,3570,4391,4334,4428,5140,4663,4158,669
Number of vehicles,BMW,783,886,876,907,1277,1300,1634,2223,2886,3644,4085,3983,4646,4046,2766,3874,4036,3711,4980,7218,8180,7994,9246,7943,7098,1340
Number of vehicles,FORD,5218,5020,3987,4373,5978,7170,8779,9521,12304,13673,14786,13955,13908,12859,9364,10449,9806,12060,14058,15512,15586,18556,18556,17912,16213,2995
Number of vehicles,HOLDEN,2379,2353,2055,2809,3425,5299,7519,9147,10589,11211,11409,9962,10517,8499,6189,7479,7732,9218,11660,13498,14331,14844,15164,13608,12581,1450
Number of vehicles,HONDA,2484,3947,4690,3807,3688,3784,4570,6460,9125,11144,12828,13325,14276,11954,9111,10990,9882,10560,12891,16476,18769,19373,21133,21318,21630,3387
Number of vehicles,HYUNDAI,183,438,717,864,1163,1142,1087,941,1387,2406,3240,3874,4539,5059,5228,6005,6823,7710,7777,8671,8719,8823,8340,8454,8789,1336
Number of vehicles,KIA,0,34,87,66,185,99,62,205,304,499,1385,2058,2201,1690,2021,2087,2384,2892,2788,2847,3343,5330,6557,6956,7192,1730
Number of vehicles,LEXUS,46,30,83,82,99,70,135,279,329,417,593,729,862,628,439,457,571,598,727,983,1222,1378,1675,1903,2412,403
Number of vehicles,MAZDA,2046,2901,2831,2809,3464,3811,4430,5811,7560,8695,10276,11248,13156,14347,11405,15054,14675,17945,22446,27513,32170,32978,37314,36442,34195,5345
Number of vehicles,MERCEDES-BENZ,372,385,425,630,881,1271,1651,1621,1977,2245,2255,2381,2468,2132,1838,1954,2394,2311,3448,4677,5488,6212,6999,6204,5201,868
Number of vehicles,MITSUBISHI,3349,3977,4228,4322,5970,5741,6440,9616,12606,14081,13661,10982,10748,8520,5317,7602,7705,7762,9816,12026,13312,14443,17407,17893,19451,3029
Number of vehicles,NISSAN,4344,6669,7538,8627,10847,11061,11793,14547,17589,19178,19056,17135,17737,14654,12347,15961,15911,18585,22857,30713,32259,36781,39901,38606,38103,6094
Number of vehicles,SUBARU,447,542,637,1163,1744,1839,2183,3061,4123,5146,6031,5841,6386,5278,5101,7205,6146,5181,5592,6641,9501,9130,10891,11546,11802,2039
Number of vehicles,SUZUKI,807,1223,1468,2051,2430,2350,2323,2383,3055,3308,4487,5879,8399,10027,6668,7304,7359,9212,10768,13288,13889,13848,16408,15869,15287,2455
Number of vehicles,TOYOTA,10730,12894,13509,12930,16566,16901,19756,27732,37343,40035,44037,41383,45224,39631,29223,37468,36169,39851,47554,55935,60131,66321,77595,70282,66650,10192
Number of vehicles,VOLKSWAGEN,171,222,147,205,382,882,1055,1346,1821,2202,2771,3837,4856,4872,3343,4064,5248,5628,8127,9415,10065,10414,10821,10436,9418,1494
